weapon_name,physical_dmg,magic_dmg,fire_dmg,lightning_dmg,holy_dmg,crit_multiplier,poise_dmg,strength_scaling,dexterity_scaling,intelligence_scaling,faith_scaling,arcane_scaling,physical_def,magic_def,fire_def,lightning_def,holy_def,guard_boost,status_resistance,weight,weapon_type,affinity
Rogier's Rapier (heavy),209,0,0,0,0,110,62,A,Z,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,24.2,11.0,3.5,ThrustingSwords,heavy
Rapier (heavy),216,0,0,0,0,130,60,B,Z,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,22.0,10.0,2.5,ThrustingSwords,heavy
Noble's Estoc (heavy),232,0,0,0,0,100,60,B,Z,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,24.2,11.0,3.5,ThrustingSwords,heavy
Estoc (heavy),239,0,0,0,0,100,66,B,Z,Z,Z,Z,54.0,36.0,36.0,36.0,36.0,26.4,12.0,4.5,ThrustingSwords,heavy
Cleanrot Knight's Sword (heavy),244,0,0,0,0,100,66,B,Z,Z,Z,Z,51.0,34.0,34.0,34.0,34.0,25.3,11.0,4.0,ThrustingSwords,heavy
Antspur Rapier (heavy),220,0,0,0,0,100,62,B,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,23.1,10.0,3.0,ThrustingSwords,heavy
Chainlink Flail (fire),181,0,181,0,0,100,122,C,E,Z,Z,Z,40.85,26.6,35.0,32.2,26.6,24.0,17.1,8.0,Flails,fire
Flail (fire),181,0,181,0,0,100,112,C,E,Z,Z,Z,34.2,22.8,30.0,27.6,22.8,20.0,14.25,5.0,Flails,fire
Nightrider Flail (fire),187,0,187,0,0,100,116,C,E,Z,Z,Z,35.15,23.75,31.25,28.75,23.75,21.0,14.25,6.0,Flails,fire
Caestus (cold),154,124,0,0,0,100,100,C,C,B,Z,Z,33.25,23.0,19.0,19.0,19.0,20.0,9.5,1.5,Fists,cold
Iron Ball (cold),172,138,0,0,0,100,110,B,D,C,Z,Z,36.1,25.3,20.9,20.9,20.9,22.0,10.45,2.5,Fists,cold
Katar (cold),167,133,0,0,0,110,100,D,C,C,Z,Z,34.2,24.15,19.95,19.95,19.95,21.0,9.5,2.5,Fists,cold
Spiked Caestus (cold),156,126,0,0,0,100,100,C,C,B,Z,Z,33.25,23.0,19.0,19.0,19.0,20.0,9.5,2.0,Fists,cold
Star Fist (cold),180,144,0,0,0,100,112,B,D,D,Z,Z,38.95,26.45,21.85,21.85,21.85,23.0,10.45,3.0,Fists,cold
Broadsword (cold),201,162,0,0,0,100,94,B,D,C,Z,Z,44.65,35.65,29.45,29.45,29.45,31.0,14.25,4.0,StraightSwords,cold
Cane Sword (cold),165,133,0,0,0,100,86,D,B,C,Z,Z,38.95,31.05,25.65,25.65,25.65,27.0,12.35,2.5,StraightSwords,cold
Longsword (cold),189,151,0,0,0,100,90,C,D,C,Z,Z,42.75,34.5,28.5,28.5,28.5,30.0,14.25,3.5,StraightSwords,cold
Lordsworn's Straight Sword (cold),198,158,0,0,0,110,90,C,C,C,Z,Z,42.75,34.5,28.5,28.5,28.5,30.0,14.25,3.5,StraightSwords,cold
